Salutation,First Name,Last Name,Company,Title,Email,Phone,Mobile,Fax,Website,Lead Source,Industry,Lead Status,Rating,No. of Employees,Annual Revenue,Street,City,State/Province,Zip/Postal Code,Country,Product Interest,Current Generator(s),SIC Code,Primary,Number of Locations,Description
Prof.,Mathieu,Roux,Roux Holdings SAS,Plant Manager,,+417 352265353,+424 386166228,,https://www.rouxholdings.com,,,Open - Not Contacted,,250,,107 Calle Mayor,Montpellier,,,France,,,,,3,
Dr.,Omar,Al Zaabi,OAl Zaabi Group LLC,President,omar.alzaabi@oalzaabigroup.com,,,,,,Telecommunications,Closed - Not Converted,,80,,,Sharjah,,,United Arab Emirates,GC1020 series,,,,,Attended regional partner event.
,Zineb,Chraibi,ZChraibi Group SA,,zineb.chraibi@zchraibigroup.com,,,,,,,Open - Not Contacted,,,,143 Commerce Blvd,Casablanca,,,Morocco,,GC1000 series (old model),,Yes,,
,Satoshi,Kobayashi,SKobayashi Enterprises K.K.,General Manager,,+921 113953262,,,,Other,Retail,Open - Not Contacted,Hot,250,,50 Business Park Way,Tokyo,,,Japan,,GC500 series,,No,1,
Mrs.,Pierre,Girard,PGirard Power SAS,COO,pierre.girard@pgirardpower.com,,+856 844973386,,,Partner Referral,Consulting,Open - Not Contacted,Warm,,1000000,,,,,France,,,,Yes,,
Ms.,Giovanni,Romano,Romano Dynamics S.r.l.,,,,+517 655987725,,,,Machinery,Open - Not Contacted,Cold,25,,,Rome,,00100,Italy,GC1020 series,,,,,"Met at trade show, interested in bulk pricing."
Dr.,Ebba,Persson,Persson Enterprises AB,Owner,ebba.persson@perssonenterprises.com,+437 874944298,+818 327696823,,https://www.perssonenterprises.com,,Manufacturing,Open - Not Contacted,,,,91 Industrial Ave,Malmo,,,Sweden,,,,,,Requested a quote via website contact form.
Dr.,Henry,Wood,HWood Systems PLC,Buyer,henry.wood@hwoodsystems.com,,+352 452074850,,https://www.hwoodsystems.com,Purchased List,Telecommunications,Closed - Not Converted,,,,48 Rue de la Paix,Edinburgh,,EH1 1AA,United Kingdom,GC1000 series,,,No,,Expressed interest during cold call.
,Camila,Lima,Lima Consulting S.A.,Operations Manager,camila.lima@limaconsulting.com,+977 336104468,,,,,Government,Open - Not Contacted,Hot,5,,,Curitiba,,80000-000,Brazil,,In-house legacy unit,,,,
,,Michel,Michel Logistics SA,,contact@michellogistics.com,+941 493476643,,,,,,Open - Not Contacted,Cold,2500,50000,49 Industrial Ave,Lyon,,69001,France,GC5000 series,,,,,
,Alexandre,Simon,ASimon Technologies SA,General Manager,alexandre.simon@asimontechnologies.com,+716 674817663,+426 348652540,,https://www.asimontechnologies.com,Phone Inquiry,Government,Open - Not Contacted,Hot,2500,120000,,,,38000,France,GC1000 series,,,Yes,,Referred by an existing customer.
Dr.,Alexandre,Girard,AGirard Solutions SARL,,alexandre.girard@agirardsolutions.com,+771 985779237,,,https://www.agirardsolutions.com,Phone Inquiry,Technology,Open - Not Contacted,,,,,Strasbourg,,67000,France,,,4304,,,
Dr.,Luuk,Smit,Smit Enterprises N.V.,,luuk.smit@smitenterprises.com,+726 998436745,,,https://www.smitenterprises.com,,Retail,Open - Not Contacted,Cold,12,,,Utrecht,,,Netherlands,,,,Yes,,
Mrs.,Antonio,Conti,Conti International S.r.l.,VP Marketing,antonio.conti@contiinternational.com,,,,https://www.contiinternational.com,Web,Environmental,Open - Not Contacted,,500,1000000,184 Via Roma,Bologna,,40121,Italy,GC1000 series,,,No,,
Mrs.,Thomas,Durand,TDurand Corp SARL,Plant Manager,thomas.durand@tdurandcorp.com,,,,,,Not For Profit,Open - Not Contacted,Hot,,250000,6 Via Roma,Lille,,59000,France,,,,,,
Mrs.,Nathalie,Roux,Roux Consulting SA,,nathalie.roux@rouxconsulting.com,+622 243242329,,,,Partner Referral,,Open - Not Contacted,,,1000000,185 Bahnhofstrasse,Lyon,,,France,,,,Yes,,
Dr.,,Girard,Girard International SARL,General Manager,contact@girardinternational.com,+578 899253164,,,https://www.girardinternational.com,Partner Referral,,Open - Not Contacted,,250,,,Angers,,49000,France,,,,,,
,Hedi,Chaouachi,Chaouachi Industries SARL,,hedi.chaouachi@chaouachiindustries.com,,,,,Partner Referral,Insurance,Open - Not Contacted,Warm,,,52 Industrial Ave,Sfax,,3000,Tunisia,GC1020 series,,,Yes,,Downloaded product catalog from website.
Mrs.,Nicolas,Vincent,NVincent Logistics SA,Buyer,nicolas.vincent@nvincentlogistics.com,,,,,Phone Inquiry,Banking,Open - Not Contacted,Hot,,,70 Commerce Blvd,Lyon,,,France,GC1000 series,,,No,,
Prof.,Jean,Dubois,Dubois Enterprises SAS,,,,,+975 978393472,,,,Open - Not Contacted,Hot,5,,99 Rua Augusta,Lyon,,69001,France,,In-house legacy unit,,Yes,,
Mrs.,Paula,Fernandez,Fernandez Enterprises S.A.,President,paula.fernandez@fernandezenterprises.com,+174 976147841,,,https://www.fernandezenterprises.com,Other,Government,Open - Not Contacted,,,,,,,46001,Spain,,,,No,,
,Antoine,Simon,ASimon Group SARL,Sales Director,antoine.simon@asimongroup.com,,,,,Purchased List,Utilities,Open - Not Contacted,Hot,500,,153 Via Roma,Nantes,,44000,France,GC1020 series,,,Yes,,
Prof.,Antoine,Moreau,Moreau Partners SARL,Operations Manager,antoine.moreau@moreaupartners.com,+327 567940915,+732 132571736,+171 475990558,,,,Open - Not Contacted,,50,,5 Boulevard Central,Paris,,75001,France,GC1020 series,,,,1,Requested a quote via website contact form.
,Laurent,Vincent,Vincent Enterprises SA,Head of Procurement,laurent.vincent@vincententerprises.com,+948 684153263,,,,Web,,Open - Not Contacted,,12,5000000,,Toulouse,,31000,France,GC1020 series,,,No,,
Mrs.,Felix,Hoffmann,Hoffmann Global GmbH,Purchasing Manager,felix.hoffmann@hoffmannglobal.com,+959 536268513,+552 821727533,,https://www.hoffmannglobal.com,Other,,Open - Not Contacted,,,5000000,4 Commerce Blvd,Stuttgart,,70173,Germany,GC1000 series,,,,,
Mr.,Aaron,Doyle,Doyle Innovations Ltd.,President,aaron.doyle@doyleinnovations.com,+210 534637969,+418 328217622,+255 451611169,,Purchased List,Construction,Open - Not Contacted,,,,178 Bahnhofstrasse,Cork,,T12 X2AH,Ireland,GC3000 series,,,,,
Ms.,Valerie,Laurent,VLaurent Dynamics SA,Head of Procurement,valerie.laurent@vlaurentdynamics.com,+222 327688295,,,https://www.vlaurentdynamics.com,Phone Inquiry,Chemicals,Open - Not Contacted,,2500,,65 Rue de la Paix,Angers,,49000,France,,,,,2,
Ms.,David,Smith,Smith Logistics Inc.,,david.smith@smithlogistics.com,+581 191214453,+461 659930790,,https://www.smithlogistics.com,Partner Referral,Healthcare,Open - Not Contacted,,25,,,San Antonio,,,United States,GC3000 series,,,Yes,,
Mrs.,Fatima,Zniber,FZniber Consulting SA,Operations Manager,fatima.zniber@fzniberconsulting.com,,,,,,,Open - Not Contacted,,,,,Marrakech,,40000,Morocco,GC3000 series,,,,1,
Prof.,Pooja,Mehta,Mehta Corp Pvt. Ltd.,Managing Director,pooja.mehta@mehtacorp.com,,,,https://www.mehtacorp.com,Purchased List,Not For Profit,Open - Not Contacted,,,,159 Rue Victor Hugo,Mumbai,,400001,India,GC5000 series,,,Yes,,
,Valerie,Bertrand,Bertrand Partners SA,General Manager,,+909 367517981,,,,Other,,Open - Not Contacted,Hot,250,,92 Hauptstrasse,Nantes,,44000,France,GC1020 series,,,,2,
Mr.,Lena,Schwarz,LSchwarz Power AG,VP Marketing,lena.schwarz@lschwarzpower.com,+674 381658908,,,https://www.lschwarzpower.com,Partner Referral,,Open - Not Contacted,,,,,Cologne,,,Germany,,,,No,1,
,Noah,Leclercq,NLeclercq Energy SA,,noah.leclercq@nleclercqenergy.com,+458 819034683,+438 529416986,,,Purchased List,Other,Open - Not Contacted,,,,242 Industrial Ave,Ghent,,9000,Belgium,,,,Yes,,
Prof.,Lukas,Zimmermann,LZimmermann Corp AG,,lukas.zimmermann@lzimmermanncorp.com,,+348 155327823,,https://www.lzimmermanncorp.com,Other,Electronics,Working - Contacted,,,250000,,Leipzig,,,Germany,GC5000 series,In-house legacy unit,6035,,1,
Prof.,Lisa,Brown,LBrown Power LLC,,lisa.brown@lbrownpower.com,+522 777119320,+40 354699966,,,Other,Machinery,Open - Not Contacted,,,,213 Rua Augusta,Austin,,73301,United States,,,,,,
Mr.,,Laurent,CLaurent Holdings SA,CFO,contact@claurentholdings.com,,+534 438837659,,https://www.claurentholdings.com,Purchased List,Finance,Open - Not Contacted,,,,87 Calle Mayor,Paris,,75001,France,GC1000 series,GC1000 series (old model),,No,1,
Mrs.,Omar,Al Suwaidi,Al Suwaidi International FZE,Plant Manager,omar.alsuwaidi@alsuwaidiinternational.com,,,,,Phone Inquiry,Government,Open - Not Contacted,Hot,1000,,225 Innovation Drive,Dubai,,,United Arab Emirates,,,8032,No,,
Mrs.,Nathalie,Moreau,Moreau Dynamics SAS,,nathalie.moreau@moreaudynamics.com,,,,,,Machinery,Open - Not Contacted,,,,,Rennes,,,France,GC1000 series,,2838,No,,Follow up after product demo webinar.
Ms.,Valerie,Bernard,Bernard Consulting SAS,Supply Chain Manager,valerie.bernard@bernardconsulting.com,+832 550633896,+16 331484322,,https://www.bernardconsulting.com,Partner Referral,Retail,Open - Not Contacted,,500,120000,58 Rue Victor Hugo,Nice,,,France,,GC800 series,,Yes,,
Ms.,Celine,David,David Technologies SARL,,,,,,https://www.davidtechnologies.com,,,Working - Contacted,,,,170 Via Roma,Toulouse,,,France,GC3000 series,,,,,
Prof.,Antoine,Lefebvre,ALefebvre Logistics SA,,antoine.lefebvre@alefebvrelogistics.com,,+484 131932394,,https://www.alefebvrelogistics.com,,,Open - Not Contacted,,,1000000,137 Commerce Blvd,Montpellier,,34000,France,GC5000 series,,,,,
,Noah,Morrison,Morrison Enterprises Ltd.,,,+733 913183661,,,https://www.morrisonenterprises.com,,,Working - Contacted,,,,,Ottawa,,K1P 1J1,Canada,,,,,,
Dr.,Nico,Meier,NMeier Global GmbH,Operations Manager,nico.meier@nmeierglobal.com,+793 481697212,,,,Purchased List,Recreation,Open - Not Contacted,Cold,,10000000,,,,8001,Switzerland,GC1020 series,,,Yes,1,
Dr.,Jack,Robinson,JRobinson Industries PLC,,,+511 181184297,,,https://www.jrobinsonindustries.com,Other,,Open - Not Contacted,,25,2500000,156 Industrial Ave,Bristol,,,United Kingdom,,,,No,,
Mr.,Sophie,Durand,Durand Systems SARL,Plant Manager,,,+997 125236678,,,,Banking,Open - Not Contacted,,,,,Montpellier,,34000,France,GC5000 series,GC800 series,,Yes,,
Prof.,Valerie,Bernard,Bernard Group SARL,Facilities Manager,valerie.bernard@bernardgroup.com,,+928 998953284,,https://www.bernardgroup.com,Purchased List,,Open - Not Contacted,,500,,,Lille,,,France,,,,No,20,
,Mila,Meijer,Meijer Enterprises N.V.,CFO,mila.meijer@meijerenterprises.com,,,,,Partner Referral,,Open - Not Contacted,Hot,,2500000,23 Church Road,Utrecht,,,Netherlands,,,1860,Yes,3,Downloaded product catalog from website.
Mrs.,Thomas,Bernard,TBernard Innovations SA,,thomas.bernard@tbernardinnovations.com,+851 332575378,+98 248825980,,https://www.tbernardinnovations.com,Web,Chemicals,Open - Not Contacted,,,120000,229 Industrial Ave,Dijon,,,France,GC5000 series,,,No,1,Referred by an existing customer.
Mrs.,Valerie,Petit,Petit Consulting SA,Procurement Director,valerie.petit@petitconsulting.com,,,,https://www.petitconsulting.com,Phone Inquiry,Communications,Open - Not Contacted,,2500,2500000,,Rennes,,35000,France,GC3000 series,,,,1,
Dr.,Marie,Fournier,MFournier Logistics SARL,Supply Chain Manager,marie.fournier@mfournierlogistics.com,,,+387 254993070,,Web,,Open - Not Contacted,,12,50000,137 Industrial Ave,Paris,,75001,France,,GC1000 series (old model),,,1,
Mrs.,Li,Zhu,"LZhu Group Co., Ltd.",,li.zhu@lzhugroup.com,+918 910665587,,,,Phone Inquiry,Education,Open - Not Contacted,Hot,,,171 Station Road,Shanghai,,200000,China,,Other Corp X100,,,3,Referred by an existing customer.
,Jean,Fournier,Fournier Global SARL,President,,+415 143544444,,,https://www.fournierglobal.com,Partner Referral,Machinery,Open - Not Contacted,,,,179 Hauptstrasse,Nantes,,,France,,,,,,Follow up after product demo webinar.
Mrs.,Larissa,Costa,LCosta Enterprises Ltda.,COO,larissa.costa@lcostaenterprises.com,,,,https://www.lcostaenterprises.com,Purchased List,Hospitality,Open - Not Contacted,,,,,Rio de Janeiro,,20000-000,Brazil,,,8148,,,Looking to replace aging equipment fleet.
,Khadija,Sqalli,Sqalli Group SA,,khadija.sqalli@sqalligroup.com,,+356 570742222,,,Other,Entertainment,Open - Not Contacted,,5,2500000,,Fes,,,Morocco,,,,Yes,,Referred by an existing customer.
Dr.,Claire,Petit,Petit Energy SARL,VP Marketing,claire.petit@petitenergy.com,,+90 772278465,,,,Food & Beverage,Open - Not Contacted,Warm,,50000,33 Station Road,Strasbourg,,,France,GC5000 series,,,No,1,Requested a quote via website contact form.
,Laura,Muller,Muller Dynamics GmbH,IT Director,laura.muller@mullerdynamics.com,,,,,Other,Banking,Open - Not Contacted,,120,,208 Commerce Blvd,Cologne,,50667,Germany,,,,,1,
Ms.,Paolo,De Luca,De Luca Power S.r.l.,,paolo.deluca@delucapower.com,+236 172445215,,,,Partner Referral,,Open - Not Contacted,Hot,50,,22 Commerce Blvd,Rome,,00100,Italy,,,,Yes,,
Dr.,Arjun,Rao,ARao Corp Ltd.,,arjun.rao@araocorp.com,,,,,Purchased List,Communications,Open - Not Contacted,,1000,,242 Park Lane,Chennai,,600001,India,,,,No,1,
Prof.,Marie,Martin,Martin Group SARL,CEO,marie.martin@martingroup.com,+430 957338747,+5 559791875,,,Partner Referral,Shipping,Open - Not Contacted,,,,,Bordeaux,,33000,France,,,,Yes,,
Dr.,Camille,Roux,CRoux Logistics SAS,,,,,,,,,Open - Not Contacted,,,,159 Rue Victor Hugo,Paris,,75001,France,GC5000 series,GC800 series,,No,,
,Jennifer,Moore,JMoore Industries Corp.,,jennifer.moore@jmooreindustries.com,,,,,,Technology,Open - Not Contacted,Warm,1000,,96 Bahnhofstrasse,Austin,,73301,United States,GC1000 series,,,,1,
Ms.,Mila,Mertens,Mertens Partners SPRL,,mila.mertens@mertenspartners.com,+450 672903261,,,https://www.mertenspartners.com,,,Open - Not Contacted,,,,,Liege,,4000,Belgium,GC5000 series,,,No,,
Prof.,Alicja,Mazur,AMazur Corp S.A.,,alicja.mazur@amazurcorp.com,+721 261233557,,+52 641720102,,,,Open - Not Contacted,Warm,,10000000,,Warsaw,,,Poland,GC1000 series,,,No,1,Follow up after product demo webinar.
,Alexandre,Durand,ADurand Group SA,,,+931 150393690,,,,Web,,Open - Not Contacted,Warm,,2500000,,Bordeaux,,33000,France,GC5000 series,,,,,
Ms.,Laurent,Martin,Martin Systems SARL,Supply Chain Manager,,+36 234552779,,,,,Transportation,Open - Not Contacted,,,,179 Rue de la Paix,Grenoble,,38000,France,,,8584,No,,
Prof.,Isabelle,Roux,IRoux Consulting SAS,,isabelle.roux@irouxconsulting.com,+211 737427437,+833 379127130,,,Purchased List,,Open - Not Contacted,,120,,,Dijon,,21000,France,,,7923,,,
Prof.,Farid,Belaid,FBelaid Holdings SARL,Plant Manager,farid.belaid@fbelaidholdings.com,,,,https://www.fbelaidholdings.com,Purchased List,Machinery,Open - Not Contacted,Warm,,,,Oran,,31000,Algeria,GC5000 series,,,,,
,Harry,Williams,HWilliams Corp Ltd.,Purchasing Manager,,+107 482176148,,,,Web,,Open - Not Contacted,Cold,12,250000,,Glasgow,,G1 1AA,United Kingdom,GC1020 series,,,No,,
,Nicolas,Leroy,Leroy Corp SA,Procurement Director,,,,,,,,Open - Not Contacted,,500,,,Grenoble,,38000,France,GC1000 series,GC500 series,,,,
,,Thomas,Thomas Industries SAS,IT Director,contact@thomasindustries.com,+882 740786648,,,,,Apparel,Open - Not Contacted,Hot,,,67 High Street,Marseille,,,France,,,,,2,
Ms.,Valerie,Dubois,Dubois International SA,,,+124 588799407,,,https://www.duboisinternational.com,Purchased List,,Open - Not Contacted,,,,43 High Street,Marseille,,,France,GC3000 series,,,,,
,Celine,Thomas,CThomas Industries SA,Buyer,celine.thomas@cthomasindustries.com,+245 138573279,,,,Web,Retail,Open - Not Contacted,Cold,,,216 Park Lane,Toulouse,,31000,France,GC3000 series,,,Yes,1,
Dr.,,Leroy,TLeroy Solutions SA,Operations Manager,contact@tleroysolutions.com,+786 688042954,,,https://www.tleroysolutions.com,Other,Apparel,Open - Not Contacted,,120,,12 High Street,Reims,,51100,France,GC3000 series,GC500 series,,No,,
,Aurelie,David,ADavid Power SARL,,,,,,,Partner Referral,Agriculture,Open - Not Contacted,Hot,2500,,49 High Street,Bordeaux,,33000,France,GC5000 series,,,No,1,
Mr.,,Michel,Michel Solutions SAS,,contact@michelsolutions.com,+498 970186498,+929 779382055,,https://www.michelsolutions.com,,Banking,Open - Not Contacted,,,50000,,,,13001,France,,,9929,,2,
Dr.,Julia,Smit,Smit Power B.V.,Owner,julia.smit@smitpower.com,+379 216594707,,,https://www.smitpower.com,Purchased List,Healthcare,Open - Not Contacted,,,50000,,Rotterdam,,3011,Netherlands,GC3000 series,,,No,,
Prof.,Maria,Rodriguez,MRodriguez Services S.A.,,maria.rodriguez@mrodriguezservices.com,+395 571330222,,,,Other,Technology,Open - Not Contacted,,,,4 Calle Mayor,Malaga,,29001,Spain,,,7468,Yes,,
Dr.,Nathalie,Bernard,NBernard Energy SAS,,nathalie.bernard@nbernardenergy.com,,+852 758566617,,https://www.nbernardenergy.com,,Engineering,Open - Not Contacted,,,,82 Rua Augusta,Montpellier,,34000,France,,None,,,,"Met at trade show, interested in bulk pricing."
Prof.,Celine,Fournier,Fournier Industries SA,Operations Manager,celine.fournier@fournierindustries.com,+240 631974909,+88 989785859,,,,Hospitality,Open - Not Contacted,Cold,,,,Montpellier,,34000,France,GC3000 series,,,,,
Prof.,Nicolas,Fournier,NFournier Services SARL,COO,nicolas.fournier@nfournierservices.com,+869 930768503,,,https://www.nfournierservices.com,Phone Inquiry,,Open - Not Contacted,,,,123 Zone Industrielle,Dijon,,21000,France,,,,,,
Dr.,Alexandre,Roux,Roux Partners SA,,alexandre.roux@rouxpartners.com,,+38 321408835,,,,Recreation,Open - Not Contacted,,,,,Reims,,,France,GC1000 series,,8284,Yes,,
,Michel,Fournier,MFournier Corp SARL,,,+160 969580724,+449 514495818,,,,Agriculture,Open - Not Contacted,,,,224 Market Street,Bordeaux,,33000,France,,Other Corp X100,,,10,Expressed interest during cold call.
,Valerie,Bernard,Bernard Energy SARL,,valerie.bernard@bernardenergy.com,,,,,Other,,Open - Not Contacted,Warm,120,,,Angers,,49000,France,GC1020 series,,,No,1,
Prof.,Marta,Alvarez,Alvarez Services S.A.,President,marta.alvarez@alvarezservices.com,,+441 261489930,,,Web,Insurance,Working - Contacted,Warm,250,,,Madrid,,28001,Spain,,,,Yes,,
,Valerie,Durand,VDurand Dynamics SA,VP Sales,valerie.durand@vduranddynamics.com,,+734 586204237,,https://www.vduranddynamics.com,Purchased List,,Open - Not Contacted,,,,140 Via Roma,Rennes,,35000,France,,,,Yes,20,
Ms.,Jean,Garcia,Garcia Technologies SAS,,jean.garcia@garciatechnologies.com,+868 745214993,,,https://www.garciatechnologies.com,Partner Referral,,Open - Not Contacted,,50,,,Grenoble,,,France,,,,,10,
Mr.,Finn,Schulz,FSchulz Partners GmbH,Buyer,finn.schulz@fschulzpartners.com,,,,,Phone Inquiry,,Open - Not Contacted,,25,,,Hamburg,,20095,Germany,GC1020 series,,,,,Looking to replace aging equipment fleet.
,Laurent,Simon,LSimon Consulting SAS,CEO,laurent.simon@lsimonconsulting.com,+817 284044876,,,,Purchased List,,Open - Not Contacted,,,,234 Innovation Drive,Dijon,,,France,,,,Yes,,
Prof.,Sandrine,Petit,Petit Innovations SARL,VP Marketing,sandrine.petit@petitinnovations.com,,,,https://www.petitinnovations.com,Phone Inquiry,Education,Open - Not Contacted,,,,132 Boulevard Central,Bordeaux,,,France,GC3000 series,,,,1,
,Isabelle,Laurent,Laurent Group SAS,Operations Manager,isabelle.laurent@laurentgroup.com,+740 727194476,,,https://www.laurentgroup.com,Other,,Open - Not Contacted,Hot,,50000,,Angers,,,France,GC1000 series,,,,,Referred by an existing customer.
Dr.,Jonas,Klein,Klein Energy AG,,jonas.klein@kleinenergy.com,+956 721871327,+655 565635129,,,Phone Inquiry,Recreation,Open - Not Contacted,,80,,190 Via Roma,Frankfurt,,,Germany,GC3000 series,,,No,,
,,Hansson,WHansson Corp AB,IT Director,contact@whanssoncorp.com,+149 439083765,,,https://www.whanssoncorp.com,Other,Construction,Closed - Converted,,25,,,Malmo,,,Sweden,,,,No,,
,Said,Zniber,Zniber Solutions SARL,Operations Manager,said.zniber@znibersolutions.com,,+304 412788232,,,Other,,Open - Not Contacted,Hot,,,,,,,Morocco,,,,No,,
Dr.,Jean,Michel,JMichel Technologies SA,Operations Manager,jean.michel@jmicheltechnologies.com,+678 290018334,,+566 260165713,,Purchased List,,Open - Not Contacted,,,1000000,86 Industrial Ave,Marseille,,13001,France,,,,Yes,,Referred by an existing customer.
Dr.,Felix,Schmidt,Schmidt Dynamics GmbH,,felix.schmidt@schmidtdynamics.com,+544 711592230,+817 861271721,,,Web,Media,Open - Not Contacted,,,,26 Innovation Drive,Frankfurt,,60311,Germany,,,,,5,
,Emily,Wood,Wood Services Ltd.,Operations Manager,emily.wood@woodservices.com,+324 757391778,,+853 543320572,https://www.woodservices.com,Partner Referral,Engineering,Open - Not Contacted,,2500,,52 Industrial Ave,Leeds,,,United Kingdom,GC5000 series,,,Yes,1,
Mr.,Michel,Simon,Simon Holdings SA,,michel.simon@simonholdings.com,+81 566049029,,,,Purchased List,,Open - Not Contacted,,2500,1000000,,Montpellier,,34000,France,,,9327,No,5,
,Priya,Shah,Shah Holdings Ltd.,,priya.shah@shahholdings.com,+773 882331933,,,https://www.shahholdings.com,Partner Referral,Healthcare,Open - Not Contacted,,,,,Bangalore,,560001,India,GC5000 series,,,Yes,,
Mrs.,Camille,Moreau,Moreau Solutions SARL,VP Sales,,,,,,Purchased List,,Open - Not Contacted,,,,12 Main Street,,,51100,France,GC1000 series,,,,,
,Sami,Chaouachi,Chaouachi Solutions SA,Buyer,sami.chaouachi@chaouachisolutions.com,,,,,Phone Inquiry,,Open - Not Contacted,,,,,Sfax,,,Tunisia,GC5000 series,,,,,
Mr.,,Garcia,Garcia Partners SA,Facilities Manager,contact@garciapartners.com,+914 681216853,,,https://www.garciapartners.com,,,Open - Not Contacted,,12,,134 Business Park Way,Toulouse,,31000,France,,None,,,2,"Existing customer, expansion opportunity."
Mr.,Jesse,Dekker,JDekker Corp N.V.,,jesse.dekker@jdekkercorp.com,+7 879525894,,+57 597225409,https://www.jdekkercorp.com,Partner Referral,,Open - Not Contacted,,2500,,,Amsterdam,,1011,Netherlands,,In-house legacy unit,,No,,
Mrs.,Michel,Dubois,MDubois Dynamics SA,,michel.dubois@mduboisdynamics.com,,,,,Partner Referral,,Open - Not Contacted,,,,,Toulouse,,,France,GC1000 series,,,Yes,,
,,Williams,OWilliams Enterprises PLC,CFO,contact@owilliamsenterprises.com,,+682 473461570,,,,Banking,Working - Contacted,,,,228 Avenue Foch,Glasgow,,G1 1AA,United Kingdom,GC1020 series,,,Yes,,"Met at trade show, interested in bulk pricing."
,Mathieu,Lefebvre,MLefebvre Consulting SARL,,,,,,,Phone Inquiry,Environmental,Open - Not Contacted,,2500,,62 Boulevard Central,Toulouse,,31000,France,GC3000 series,,,No,,
,Emma,Gauthier,EGauthier Solutions Inc.,,emma.gauthier@egauthiersolutions.com,+642 254226765,,,,,Communications,Open - Not Contacted,,,250000,184 Via Roma,Montreal,,H2Y 1C6,Canada,GC5000 series,,,,3,Follow up after product demo webinar.
Mrs.,Bram,Brouwer,BBrouwer Consulting B.V.,,bram.brouwer@bbrouwerconsulting.com,,,,,Purchased List,Media,Open - Not Contacted,,,,46 Via Roma,The Hague,,2511,Netherlands,,,,,,
Ms.,Aurelie,Martin,AMartin Innovations SAS,,aurelie.martin@amartininnovations.com,+666 223821034,+953 377446635,,,,Environmental,Open - Not Contacted,,,1000000,19 Industrial Ave,Bordeaux,,,France,GC3000 series,,,,,Referred by an existing customer.
Mr.,Sophie,Vincent,SVincent Energy SARL,Head of Procurement,sophie.vincent@svincentenergy.com,+440 522300792,,,,Other,,Open - Not Contacted,,25,,,Toulouse,,,France,GC5000 series,,,No,,"Met at trade show, interested in bulk pricing."
,Laurent,Petit,Petit Industries SA,,laurent.petit@petitindustries.com,,,,https://www.petitindustries.com,Purchased List,Biotechnology,Open - Not Contacted,,25,,,Dijon,,,France,,,,No,,
Mrs.,Wojciech,Nowak,WNowak Enterprises Sp. z o.o.,Purchasing Manager,wojciech.nowak@wnowakenterprises.com,+12 276200246,+389 644239462,,https://www.wnowakenterprises.com,Purchased List,Engineering,Open - Not Contacted,Hot,,,57 Commerce Blvd,Warsaw,,00-001,Poland,GC1000 series,,,,,Follow up after product demo webinar.
,Aurelie,Garcia,Garcia Dynamics SAS,,aurelie.garcia@garciadynamics.com,+794 913152349,,,,Purchased List,,Open - Not Contacted,Cold,500,,8 Avenue Foch,Lyon,,69001,France,,,,No,2,
,Khadija,Fassi,KFassi Technologies SA,Purchasing Manager,,+650 141920912,+331 186784181,,,Other,Environmental,Open - Not Contacted,,,1000000,,Fes,,,Morocco,GC1020 series,,,No,,
Mrs.,Freya,Taylor,Taylor Energy Ltd.,,freya.taylor@taylorenergy.com,+784 861192463,,,,Phone Inquiry,,Open - Not Contacted,Cold,120,,,London,,EC1A 1BB,United Kingdom,GC1020 series,,,No,1,Follow up after product demo webinar.
Prof.,,Moreau,Moreau Consulting SARL,CEO,contact@moreauconsulting.com,,,,,,,Open - Not Contacted,,,10000000,205 Rua Augusta,Toulouse,,31000,France,GC1020 series,,,,,Referred by an existing customer.
Ms.,Claire,Bernard,Bernard Systems SAS,Managing Director,claire.bernard@bernardsystems.com,+975 558769147,,,,,Education,Open - Not Contacted,,12,,159 Zone Industrielle,Grenoble,,38000,France,GC1020 series,,,No,5,
Dr.,Claire,Fournier,Fournier Technologies SA,President,,+753 935318739,+587 678140811,,https://www.fourniertechnologies.com,Other,Agriculture,Open - Not Contacted,Hot,,,35 Bahnhofstrasse,Rennes,,35000,France,,,,,,"Met at trade show, interested in bulk pricing."
Ms.,,Faye,Faye Services SARL,Facilities Manager,contact@fayeservices.com,,+690 929415054,,,Phone Inquiry,Engineering,Open - Not Contacted,Warm,2500,50000,,Thies,,,Senegal,GC3000 series,,,,10,
Mr.,Valerie,Durand,VDurand Logistics SAS,VP Sales,valerie.durand@vdurandlogistics.com,+518 215993292,+250 999258921,,https://www.vdurandlogistics.com,Partner Referral,Food & Beverage,Open - Not Contacted,,80,50000,169 Boulevard Central,Lyon,,,France,GC5000 series,,7336,No,1,Inbound inquiry about maintenance contracts.
Mr.,Julien,Fournier,Fournier Power SAS,Owner,julien.fournier@fournierpower.com,+87 818933547,+939 181013661,,https://www.fournierpower.com,Web,Transportation,Open - Not Contacted,Hot,,,,Nantes,,,France,,,,,,Inbound inquiry about maintenance contracts.
Mr.,Nicolas,Petit,NPetit Enterprises SARL,Supply Chain Manager,,+272 283334481,+700 635085594,,https://www.npetitenterprises.com,Web,,Open - Not Contacted,Hot,,,136 Church Road,Grenoble,,38000,France,,GC1000 series (old model),8306,Yes,,
Prof.,Celine,Vincent,Vincent Technologies SAS,Supply Chain Manager,celine.vincent@vincenttechnologies.com,+854 284266992,+887 411955403,,,,,Open - Not Contacted,Hot,,,,Montpellier,,,France,,,,,,
